Price,Close,High,Low,Open,Volume,RSI,MA_Short,MA_Long,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Volume_MA,RSI_Buy_Signal,MA_Crossover,Buy_Signal,Sell_Signal
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,
2023-04-25,1088.99072265625,1091.0761068370036,1077.2807122181785,1084.3846203456042,9236126,64.46940215678484,1078.3073608398438,1054.5847269694011,1074.716701479434,1068.5769492910986,6.139752188335478,2.776904574744527,3.3628476135909513,1062.23408203125,1109.6243591583648,1014.8438049041351,13935945.2,0,0,0,0
2023-04-26,1082.5972900390625,1093.5970195080386,1078.9078012347554,1090.3428646820537,8617834,59.065392583956324,1079.487548828125,1054.6282694498698,1075.9290997193768,1069.615493050207,6.313606669169758,3.484244993629573,2.8293616755401847,1064.8533813476563,1110.5519810502994,1019.1547816450131,13554368.4,0,0,0,0
2023-04-27,1089.4490966796875,1092.6343931381125,1083.4680130880868,1088.509570607269,9167125,64.34983704309735,1080.8808349609376,1055.4585917154948,1078.0090992517323,1071.084648874613,6.9244503771192285,4.172286070327504,2.752164306791724,1068.8350341796875,1107.7099717402277,1029.9600966191472,13393927.4,0,0,0,0
2023-04-28,1109.3631591796875,1110.9215603231803,1091.6033263738211,1091.717887951464,15565210,69.16377723970945,1083.859912109375,1057.536309814453,1082.8328007791101,1073.9200940823964,8.912706696713713,5.120370195604746,3.7923365011089665,1073.027520751953,1110.2825935027975,1035.7724480011086,13469471.75,0,0,0,0
2023-05-02,1118.7816162109375,1120.958649716804,1112.8463570833217,1116.5587580773163,12981805,77.64043861805409,1087.233154296875,1060.0585957845053,1088.363387768622,1077.2431697956217,11.120217973000308,6.320339751083859,4.799878221916449,1077.4514526367188,1114.3562929767377,1040.5466122967,13489740.8,0,0,0,1
2023-05-03,1109.1798095703125,1120.5919606156895,1105.948688312864,1120.5919606156895,7061872,69.06450568518723,1090.8882568359375,1062.8551127115886,1091.5659141996514,1079.6088468159692,11.957067383682215,7.44768527760353,4.509382106078685,1081.7000793457032,1111.717877705753,1051.6822809856535,12902631.15,0,0,0,0
2023-05-04,1121.9669189453125,1124.1897770911949,1106.6590686073505,1109.6610666585334,8635233,71.35936935177139,1095.2881225585938,1066.2482096354167,1096.24299185283,1082.7464817885132,13.496510064316908,8.657450234946207,4.839059829370701,1084.3801025390626,1118.6547099458344,1050.1054951322908,11925832.75,0,0,0,1
2023-05-05,1119.1024169921875,1128.0854990100452,1116.4671371419286,1118.75873227531,8746585,68.378463661913,1099.6742431640625,1069.5885945638022,1099.7598264896542,1085.4395140258223,14.320312463831897,9.790022680723347,4.53028978310855,1086.907733154297,1123.635232808659,1050.1802334999347,11848509.85,0,0,0,0
2023-05-08,1132.9207763671875,1138.3060185383476,1120.2023817280278,1122.8834860424977,9153782,70.65460352371863,1105.3069946289063,1073.7234049479166,1104.8615110861979,1088.956644569627,15.904866516570792,11.012991447892837,4.891875068677955,1090.2546142578126,1130.9399244983972,1049.569304017228,11493052.55,0,0,0,1
2023-05-09,1136.4268798828125,1139.7497715225165,1128.9562533083829,1134.3414956439876,6464721,79.82008690968513,1110.8778686523438,1076.929353841146,1109.7177216702923,1092.4729582965297,17.24476337376268,12.259345833066806,4.985417540695874,1093.4193176269532,1138.1431810292709,1048.6954542246356,10894536.3,0,0,0,1
2023-05-10,1144.2413330078125,1145.7308758867846,1137.18312795373,1141.2164226215416,10872255,80.27642604677516,1116.4029296875,1080.2903645833333,1115.0290464914492,1096.3076527195876,18.721393771861585,13.551755420825764,5.169638351035822,1097.3551452636718,1145.469091263,1049.2411992643435,10790078.65,0,0,0,1
2023-05-11,1136.770751953125,1150.1536048580092,1135.0519646343146,1145.318379000289,10557860,76.94169412237585,1121.8202758789062,1083.8423461914062,1118.373924254784,1099.3049193294794,19.069004925304625,14.655205321721537,4.413799603583088,1100.6539123535156,1150.1281039959322,1051.179720711099,10790853.3,0,0,0,1
2023-05-12,1138.6268310546875,1140.0247246584067,1125.8626113395205,1131.9582566592853,6955341,77.04302477183833,1126.7380493164062,1088.1360392252604,1121.4897560701538,1102.2176535313465,19.272102538807303,15.578584765138691,3.693517773668612,1103.8094421386718,1154.5667525663928,1053.0521317109508,10229666.0,0,0,0,1
